StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:41:57.892353	1672148517.892353;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:41:57.892676	1672148517.892676;2022-12-27	08:42:57.893171	1672148577.893171;00:01:00;00:01:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:42:57.893292	1672148577.893292;2022-12-27	08:43:57.894196	1672148637.894196;00:01:00;00:02:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:43:57.894311	1672148637.894311;2022-12-27	08:44:57.897015	1672148697.897015;00:01:00;00:03:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:44:57.897128	1672148697.897128;2022-12-27	08:45:57.898151	1672148757.898151;00:01:00;00:04:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:45:57.898215	1672148757.898215;2022-12-27	08:46:57.901028	1672148817.901028;00:01:00;00:05:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:46:57.901160	1672148817.901160;2022-12-27	08:47:57.901126	1672148877.901126;00:00:59;00:06:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:47:57.901244	1672148877.901244;2022-12-27	08:48:57.904084	1672148937.904084;00:01:00;00:07:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:48:57.904199	1672148937.904199;2022-12-27	08:49:57.905593	1672148997.905593;00:01:00;00:08:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:49:57.905779	1672148997.905779;2022-12-27	08:50:57.906465	1672149057.906465;00:01:00;00:09:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:50:57.906575	1672149057.906575;2022-12-27	08:51:57.907858	1672149117.907858;00:01:00;00:10:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:51:57.907979	1672149117.907979;2022-12-27	08:52:57.909899	1672149177.909899;00:01:00;00:11:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:52:57.910016	1672149177.910016;2022-12-27	08:53:57.911140	1672149237.911140;00:01:00;00:12:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:53:57.911253	1672149237.911253;2022-12-27	08:54:57.913706	1672149297.913706;00:01:00;00:13:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:54:57.913857	1672149297.913857;2022-12-27	08:55:57.914697	1672149357.914697;00:01:00;00:14:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:55:57.914760	1672149357.914760;2022-12-27	08:56:57.916406	1672149417.916406;00:01:00;00:15:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:56:57.916525	1672149417.916525;2022-12-27	08:57:57.918229	1672149477.918229;00:01:00;00:16:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:57:57.918347	1672149477.918347;2022-12-27	08:58:57.920654	1672149537.920654;00:01:00;00:17:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:58:57.920770	1672149537.920770;2022-12-27	08:59:57.922192	1672149597.922192;00:01:00;00:18:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	08:59:57.922312	1672149597.922312;2022-12-27	09:00:57.923262	1672149657.923262;00:01:00;00:19:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:00:57.923330	1672149657.923330;2022-12-27	09:01:57.925993	1672149717.925993;00:01:00;00:20:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:01:57.926115	1672149717.926115;2022-12-27	09:02:57.927724	1672149777.927724;00:01:00;00:21:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:02:57.927854	1672149777.927854;2022-12-27	09:03:57.928327	1672149837.928327;00:01:00;00:22:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:03:57.928444	1672149837.928444;2022-12-27	09:04:57.930625	1672149897.930625;00:01:00;00:23:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:04:57.930739	1672149897.930739;2022-12-27	09:05:57.933058	1672149957.933058;00:01:00;00:24:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:05:57.933123	1672149957.933123;2022-12-27	09:06:57.933638	1672150017.933638;00:01:00;00:25:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:06:57.933760	1672150017.933760;2022-12-27	09:07:57.934678	1672150077.934678;00:01:00;00:26:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:07:57.934793	1672150077.934793;2022-12-27	09:08:57.936912	1672150137.936912;00:01:00;00:27:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:08:57.937027	1672150137.937027;2022-12-27	09:09:57.937655	1672150197.937655;00:01:00;00:28:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:09:57.937787	1672150197.937787;2022-12-27	09:10:57.939181	1672150257.939181;00:01:00;00:29:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:10:57.939294	1672150257.939294;2022-12-27	09:11:57.940202	1672150317.940202;00:01:00;00:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:11:57.940357	1672150317.940357;2022-12-27	09:12:57.942595	1672150377.942595;00:01:00;00:31:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:12:57.942750	1672150377.942750;2022-12-27	09:13:57.943694	1672150437.943694;00:01:00;00:32:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:13:57.943811	1672150437.943811;2022-12-27	09:14:57.944457	1672150497.944457;00:01:00;00:33:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:14:57.944629	1672150497.944629;2022-12-27	09:15:57.945127	1672150557.945127;00:01:00;00:34:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:15:57.945237	1672150557.945237;2022-12-27	09:16:57.947471	1672150617.947471;00:01:00;00:35:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:16:57.947591	1672150617.947591;2022-12-27	09:17:57.948165	1672150677.948165;00:01:00;00:36:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:17:57.948282	1672150677.948282;2022-12-27	09:18:57.950781	1672150737.950781;00:01:00;00:37:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:18:57.950903	1672150737.950903;2022-12-27	09:19:57.951676	1672150797.951676;00:01:00;00:38:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:19:57.951792	1672150797.951792;2022-12-27	09:20:57.953223	1672150857.953223;00:01:00;00:39:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2022-12-27	08:41:57.886453	1672148517.886453;2022-12-27	09:20:57.953334	1672150857.953334;2022-12-27	09:21:57.955635	1672150917.955635;00:01:00;00:40:00;1;0.216659;0.00541651;13;13;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
