StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:48:29.917329	1464716909.917329;00:00:00;00:00:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:48:29.917765	1464716909.917765;2016-05-31	13:49:29.918269	1464716969.918269;00:01:00;00:01:00;1;0.116667;0.116636;0;0;7;7;7;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;00:00:25:588000;00:00:25:588000;00:00:02:317000;00:00:02:317000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:49:29.918392	1464716969.918392;2016-05-31	13:50:29.920635	1464717029.920635;00:01:00;00:02:00;1;0.133329;0.12498;0;0;8;15;15;4;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:29:305000;00:00:27:953000;00:00:02:321000;00:00:02:891000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:50:29.920755	1464717029.920755;2016-05-31	13:51:29.922065	1464717089.922065;00:01:00;00:03:00;1;0.116665;0.122209;0;0;7;22;22;4;7;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:30:017000;00:00:28:756000;00:00:05:004000;00:00:03:851000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:51:29.922167	1464717089.922167;2016-05-31	13:52:29.922927	1464717149.922927;00:01:00;00:04:00;1;0.133333;0.124989;0;0;8;30;30;4;8;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:27:971000;00:00:28:514000;00:00:04:237000;00:00:03:904000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:52:29.923031	1464717149.923031;2016-05-31	13:53:29.923857	1464717209.923857;00:01:00;00:05:00;1;0.116667;0.123324;0;0;7;37;37;3;8;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:30:399000;00:00:28:958000;00:00:04:132000;00:00:03:979000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:53:29.923967	1464717209.923967;2016-05-31	13:54:29.926401	1464717269.926401;00:01:00;00:06:00;1;0.133329;0.124992;0;0;8;45;45;4;7;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:28:885000;00:00:28:945000;00:00:03:912000;00:00:03:919000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:54:29.926500	1464717269.926500;2016-05-31	13:55:29.927718	1464717329.927718;00:01:00;00:07:00;1;0.116665;0.123802;0;0;7;52;52;4;7;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:29:464000;00:00:29:021000;00:00:04:434000;00:00:03:951000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:55:29.927817	1464717329.927817;2016-05-31	13:56:29.930111	1464717389.930111;00:01:00;00:08:00;1;0.133329;0.124993;0;0;8;60;60;5;7;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:27:489000;00:00:28:826000;00:00:03:203000;00:00:03:872000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:56:29.930248	1464717389.930248;2016-05-31	13:57:29.930857	1464717449.930857;00:01:00;00:09:00;1;0.116667;0.124067;0;0;7;67;67;3;9;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:30:223000;00:00:29:022000;00:00:03:196000;00:00:03:793000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:57:29.930950	1464717449.930950;2016-05-31	13:58:29.931708	1464717509.931708;00:01:00;00:10:00;1;0.133333;0.124994;0;0;8;75;75;4;7;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:30:036000;00:00:29:122000;00:00:04:876000;00:00:03:883000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:58:29.931818	1464717509.931818;2016-05-31	13:59:29.934074	1464717569.934074;00:01:00;00:11:00;1;0.116663;0.124236;0;0;7;82;82;5;6;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:26:881000;00:00:28:948000;00:00:04:269000;00:00:03:931000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	13:59:29.934202	1464717569.934202;2016-05-31	14:00:29.936074	1464717629.936074;00:01:00;00:12:00;1;0.133331;0.124994;0;0;8;90;90;4;9;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:29:108000;00:00:28:964000;00:00:04:252000;00:00:03:940000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	14:00:29.936188	1464717629.936188;2016-05-31	14:01:29.938037	1464717689.938037;00:01:00;00:13:00;1;0.116665;0.124353;0;0;7;97;97;3;8;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:29:001000;00:00:28:967000;00:00:04:264000;00:00:03:944000;
2016-05-31	13:48:29.901463	1464716909.901463;2016-05-31	14:01:29.938143	1464717689.938143;2016-05-31	14:02:29.940485	1464717749.940485;00:01:00;00:14:00;1;0.133329;0.124994;0;0;8;105;105;4;7;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;00:00:29:022000;00:00:28:971000;00:00:04:528000;00:00:03:962000;
